# UMIST 2012, no negative ions, no photoreactions
# Number of Ionization Reactions
3
# List of Ionization Reactions
# R1    R2      P1      P2      P3      P4      ratio
H2    0       H2+     e-      0       0       0.97
H2    0       H+      H       e-      0       0.03
H     0       H+      e-      0       0       0.50
# Number of Gas-phase Reactions
124
# List of Gas-phase Reactions
# type	R1	R2	P1	P2	P3	P4	alpha		beta		gamma		Tmin		Tmax
IN	H	CH+	C+	H2	0	0	9.060000e-10	-3.700000e-01	2.910000e+01	1.000000e+01	1.000000e+03
IN	H	CH2+	CH+	H2	0	0	1.000000e-09	0.000000e+00	7.080000e+03	2.360000e+02	3.000000e+02
IN	H	CH3+	CH2+	H2	0	0	7.000000e-10	0.000000e+00	1.056000e+04	3.520000e+02	4.100000e+04
NN	C	CH2	CH	CH	0	0	2.690000e-12	0.000000e+00	2.355000e+04	1.000000e+03	4.000000e+03
NN	C	OH	CO	H	0	0	1.000000e-10	0.000000e+00	0.000000e+00	1.000000e+01	3.000000e+02
NN	C	OH	O	CH	0	0	2.250000e-11	5.000000e-01	1.480000e+04	4.930000e+02	4.100000e+04
NN	CH2	CH2	CH3	CH	0	0	4.000000e-10	0.000000e+00	5.000000e+03	3.000000e+02	2.500000e+03
NN	CH2	O	CO	H2	0	0	8.000000e-11	0.000000e+00	0.000000e+00	1.900000e+03	2.600000e+03
NN	CH2	O	CO	H	H	0	1.330000e-10	0.000000e+00	0.000000e+00	1.000000e+01	2.500000e+03
NN	CH2	O	OH	CH	0	0	4.980000e-10	0.000000e+00	6.000000e+03	1.900000e+03	2.300000e+03
NN	CH2	OH	O	CH3	0	0	1.440000e-11	5.000000e-01	3.000000e+03	1.000000e+02	3.000000e+02
NN	CH3	O	CO	H2	H	0	3.600000e-11	0.000000e+00	2.020000e+02	3.540000e+02	9.250000e+02
NN	CH	O	CO	H	0	0	6.020000e-11	1.000000e-01	-4.500000e+00	1.000000e+01	2.000000e+03
NN	CH	O	OH	C	0	0	2.520000e-11	0.000000e+00	2.381000e+03	1.000000e+01	6.000000e+03
NN	H2	C	CH	H	0	0	6.640000e-10	0.000000e+00	1.170000e+04	3.000000e+02	2.500000e+03
NN	H2	CH2	CH3	H	0	0	5.180000e-11	1.700000e-01	6.400000e+03	3.000000e+02	2.500000e+03
NN	H2	CH	CH2	H	0	0	5.460000e-10	0.000000e+00	1.943000e+03	3.000000e+02	2.500000e+03
NN	H2	O	OH	H	0	0	3.140000e-13	2.700000e+00	3.150000e+03	2.970000e+02	3.532000e+03
NN	H	CH2	CH	H2	0	0	2.200000e-10	0.000000e+00	0.000000e+00	1.000000e+01	2.500000e+03
NN	H	CH3	CH2	H2	0	0	1.000000e-10	0.000000e+00	7.600000e+03	3.000000e+02	2.500000e+03
NN	H	CH	C	H2	0	0	1.310000e-10	0.000000e+00	8.000000e+01	3.000000e+02	2.000000e+03
NN	H	CO	OH	C	0	0	1.100000e-10	5.000000e-01	7.770000e+04	2.590000e+03	4.100000e+04
NN	H	OH	O	H2	0	0	6.990000e-14	2.800000e+00	1.950000e+03	3.000000e+02	2.500000e+03
PH	C	0	C+	e-	0	0	3.100000e-10	0.000000e+00	3.300000e+00	1.000000e+01	4.100000e+04
PH	CH+	0	C	H+	0	0	3.300000e-10	0.000000e+00	2.900000e+00	1.000000e+01	4.100000e+04
PH	CH2+	0	C+	H2	0	0	4.670000e-11	0.000000e+00	2.200000e+00	1.000000e+01	4.100000e+04
PH	CH2+	0	CH+	H	0	0	4.670000e-11	0.000000e+00	2.200000e+00	1.000000e+01	4.100000e+04
PH	CH2+	0	CH	H+	0	0	4.670000e-11	0.000000e+00	2.200000e+00	1.000000e+01	4.100000e+04
PH	CH2	0	CH2+	e-	0	0	1.000000e-09	0.000000e+00	2.300000e+00	1.000000e+01	4.100000e+04
PH	CH2	0	CH	H	0	0	5.800000e-10	0.000000e+00	2.000000e+00	1.000000e+01	4.100000e+04
PH	CH3+	0	CH+	H2	0	0	1.000000e-09	0.000000e+00	1.700000e+00	1.000000e+01	4.100000e+04
PH	CH3+	0	CH2+	H	0	0	1.000000e-09	0.000000e+00	1.700000e+00	1.000000e+01	4.100000e+04
PH	CH3	0	CH2	H	0	0	1.350000e-10	0.000000e+00	2.300000e+00	1.000000e+01	4.100000e+04
PH	CH3	0	CH3+	e-	0	0	1.000000e-10	0.000000e+00	2.100000e+00	1.000000e+01	4.100000e+04
PH	CH3	0	CH	H2	0	0	1.350000e-10	0.000000e+00	2.300000e+00	1.000000e+01	4.100000e+04
PH	CH	0	C	H	0	0	9.200000e-10	0.000000e+00	1.700000e+00	1.000000e+01	4.100000e+04
PH	CH	0	CH+	e-	0	0	7.600000e-10	0.000000e+00	3.300000e+00	1.000000e+01	4.100000e+04
PH	CO+	0	C+	O	0	0	1.000000e-10	0.000000e+00	2.500000e+00	1.000000e+01	4.100000e+04
PH	CO	0	O	C	0	0	2.000000e-10	0.000000e+00	3.500000e+00	1.000000e+01	4.100000e+04
PH	H2+	0	H+	H	0	0	5.700000e-10	0.000000e+00	2.400000e+00	1.000000e+01	4.100000e+04
PH	OH+	0	O+	H	0	0	1.100000e-11	0.000000e+00	3.500000e+00	1.000000e+01	4.100000e+04
PH	OH	0	O	H	0	0	3.900000e-10	0.000000e+00	2.200000e+00	1.000000e+01	4.100000e+04
PH	OH	0	OH+	e-	0	0	1.600000e-12	0.000000e+00	3.100000e+00	1.000000e+01	4.100000e+04
PH	S	0	S+	e-	0	0	6.000000e-10	0.000000e+00	3.100000e+00	1.000000e+01	4.100000e+04
RA	C+	O	CO+	0	0	0	3.140000e-18	-1.500000e-01	6.800000e+01	1.000000e+01	1.390000e+04
RA	C	O+	CO+	0	0	0	5.000000e-10	-3.700000e+00	8.000000e+02	2.000000e+03	1.000000e+04
RA	C	O	CO	0	0	0	4.690000e-19	1.520000e+00	-5.050000e+01	1.000000e+01	1.470000e+04
RA	H+	H	H2+	0	0	0	1.150000e-18	1.490000e+00	2.280000e+02	2.000000e+02	3.200000e+04
RA	H2	C+	CH2+	0	0	0	2.000000e-16	-1.300000e+00	2.300000e+01	1.000000e+01	3.000000e+02
RA	H2	C	CH2	0	0	0	1.000000e-17	0.000000e+00	0.000000e+00	1.000000e+01	3.000000e+02
RA	H2	CH	CH3	0	0	0	5.090000e-18	-7.100000e-01	1.160000e+01	1.000000e+01	3.000000e+02
RA	H	C+	CH+	0	0	0	1.700000e-17	0.000000e+00	0.000000e+00	1.000000e+01	3.000000e+02
RA	H	C	CH	0	0	0	1.000000e-17	0.000000e+00	0.000000e+00	1.000000e+01	3.000000e+02
RA	H	O	OH	0	0	0	9.900000e-19	-3.800000e-01	0.000000e+00	1.000000e+01	3.000000e+02
RR	C+	e-	C	0	0	0	2.360000e-12	-2.900000e-01	-1.760000e+01	1.000000e+01	4.100000e+04
RR	CH3+	e-	CH3	0	0	0	1.100000e-10	-5.000000e-01	0.000000e+00	1.000000e+01	3.000000e+02
RR	H+	e-	H	0	0	0	3.500000e-12	-7.500000e-01	0.000000e+00	1.000000e+01	2.000000e+04
RR	O+	e-	O	0	0	0	3.240000e-12	-6.600000e-01	0.000000e+00	1.000000e+01	4.100000e+04
RR	S+	e-	S	0	0	0	5.490000e-12	-5.900000e-01	0.000000e+00	1.000000e+01	1.000000e+03
# Number of Grain Surface Reactions
0
# List of Grain Surface Reactions
# R1    R2      P1      P2      Ea
 H     H       H2      0       0.0
